complexity;graph_size;algorithm;memory (byte)
0.1;5000;nuutila1_iterative;6896093.8
0.1;5000;nuutila1;10686562.600000001
0.1;5000;tarjan;10615000.1
0.1;5000;pearce1;10334375.0
0.1;5000;pearce2;10210546.9
0.1;5000;boost;9989843.8
0.1;5000;pearce2_iterative;6731250.0
0.1;5000;nuutila2_iterative;6753576.5
0.1;5000;nuutila2;9967187.5
0.5;5000;nuutila1_iterative;6896093.8
0.5;5000;nuutila1;10826562.6
0.5;5000;tarjan;10575000.100000003
0.5;5000;pearce1;10334375.0
0.5;5000;pearce2;10278750.100000001
0.5;5000;boost;10079843.8
0.5;5000;pearce2_iterative;6863281.3
0.5;5000;nuutila2_iterative;6813281.3
0.5;5000;nuutila2;10004256.3
0.1;500;nuutila1_iterative;291137.5
0.1;500;nuutila1;385137.5
0.1;500;tarjan;341137.5
0.1;500;pearce1;341137.5
0.1;500;pearce2;321137.5
0.1;500;boost;298828.10000000003
0.1;500;pearce2_iterative;291137.5
0.1;500;nuutila2_iterative;289062.5
0.1;500;nuutila2;314015.60000000003
0.5;500;nuutila1_iterative;301640.6
0.5;500;nuutila1;385546.9
0.5;500;tarjan;340137.4
0.5;500;pearce1;338640.6
0.5;500;pearce2;330968.8
0.5;500;boost;312890.6
0.5;500;pearce2_iterative;291640.6
0.5;500;nuutila2_iterative;294828.1
0.5;500;nuutila2;332968.8
