;vertex;edge;sccs;mem_sw;mem_peak;mem_algorithm (byte);algorithm
0;1000;200000;1;7221248;7503872;282624;pearce2
1;1000;699999;1;18083840;18362368;278528;pearce2
2;1000;9999;1;1822720;2056192;233472;pearce2
3;1000;200000;1;6774784;7004160;229376;tarjan
4;1000;699999;1;18083840;18288640;204800;tarjan
5;1000;9999;1;1822720;2019328;196608;tarjan
6;1000;200000;1;8671232;8765440;94208;nuutila2_iterative
7;1000;699999;1;18366464;18444288;77824;nuutila2_iterative
8;1000;9999;1;1826816;1896448;69632;nuutila2_iterative
9;1000;200000;1;6774784;6860800;86016;pearce2_iterative
10;1000;699999;1;18083840;18165760;81920;pearce2_iterative
11;1000;9999;1;1826816;1908736;81920;pearce2_iterative
12;1000;200000;1;7090176;7262208;172032;boost
13;1000;699999;1;20414464;20574208;159744;boost
14;1000;9999;1;1822720;1982464;159744;boost
15;1000;200000;1;8392704;8491008;98304;nuutila1_iterative
16;1000;699999;1;25341952;25444352;102400;nuutila1_iterative
17;1000;9999;1;1826816;1896448;69632;nuutila1_iterative
18;1000;200000;1;9003008;9322496;319488;pearce1
19;1000;699999;1;25718784;26034176;315392;pearce1
20;1000;9999;1;1896448;2162688;266240;pearce1
21;1000;200000;1;7991296;8318976;327680;nuutila2
22;1000;699999;1;25092096;25419776;327680;nuutila2
23;1000;9999;1;1822720;2105344;282624;nuutila2
24;1000;200000;1;6774784;7098368;323584;nuutila1
25;1000;699999;1;27557888;27877376;319488;nuutila1
26;1000;9999;1;1822720;2097152;274432;nuutila1
27;1000;200000;1;6774784;7053312;278528;pearce2
28;1000;699999;1;24346624;24625152;278528;pearce2
29;1000;9999;1;1822720;2056192;233472;pearce2
30;1000;200000;1;8220672;8454144;233472;tarjan
31;1000;699999;1;24936448;25161728;225280;tarjan
32;1000;9999;1;1822720;2019328;196608;tarjan
33;1000;200000;1;7061504;7147520;86016;nuutila2_iterative
34;1000;699999;1;18083840;18161664;77824;nuutila2_iterative
35;1000;9999;1;1826816;1896448;69632;nuutila2_iterative
36;1000;200000;1;6774784;6860800;86016;pearce2_iterative
37;1000;699999;1;21983232;22077440;94208;pearce2_iterative
38;1000;9999;1;1921024;1998848;77824;pearce2_iterative
39;1000;200000;1;7041024;7241728;200704;boost
40;1000;699999;1;22794240;22958080;163840;boost
41;1000;9999;1;1822720;1982464;159744;boost
42;1000;200000;1;9281536;9375744;94208;nuutila1_iterative
43;1000;699999;1;27840512;27926528;86016;nuutila1_iterative
44;1000;9999;1;1826816;1896448;69632;nuutila1_iterative
45;1000;200000;1;7024640;7344128;319488;pearce1
46;1000;699999;1;25194496;25509888;315392;pearce1
47;1000;9999;1;1822720;2093056;270336;pearce1
48;1000;200000;1;7299072;7639040;339968;nuutila2
49;1000;699999;1;18354176;18681856;327680;nuutila2
50;1000;9999;1;1822720;2105344;282624;nuutila2
51;1000;200000;1;6774784;7098368;323584;nuutila1
