V,E,sccs,boost,boostCorrected,tarjan_map,tarjan_mapCorrected,nuutila1_map,nuutila1_mapCorrected,nuutila1_iterative,nuutila1_iterativeCorrected,nuutila2_map,nuutila2_mapCorrected,nuutila2_iterative,nuutila2_iterativeCorrected,pearce1_map,pearce1_mapCorrected,pearce2_map,pearce2_mapCorrected,pearce2_iterative,pearce2_iterativeCorrected
2,0,2,2,v,2,v,2,v,10,v,2,v,2,X,1,v,1,v,2,v
2,0,2,0,v,0,v,0,v,0,v,0,v,1,X,0,v,0,v,0,v
2,0,2,0,v,0,v,0,v,0,v,0,v,1,X,0,v,0,v,0,v
2,0,2,0,v,0,v,0,v,0,v,0,v,1,X,0,v,0,v,0,v
2,0,2,0,v,0,v,0,v,0,v,0,v,1,X,0,v,0,v,0,v
2,0,2,0,v,0,v,0,v,0,v,0,v,1,X,0,v,0,v,0,v
2,0,2,0,v,0,v,0,v,0,v,0,v,1,X,0,v,0,v,0,v
2,0,2,0,v,0,v,0,v,0,v,0,v,1,X,0,v,0,v,0,v
2,0,2,0,v,0,v,0,v,0,v,0,v,1,X,0,v,0,v,0,v
2,0,2,0,v,0,v,0,v,0,v,0,v,1,X,0,v,0,v,0,v
2,0,2,0,v,0,v,0,v,0,v,0,v,1,X,0,v,0,v,0,v
2,0,2,0,v,0,v,0,v,0,v,0,v,1,X,0,v,0,v,0,v
2,0,2,0,v,0,v,0,v,0,v,0,v,1,X,0,v,0,v,0,v
2,1,2,0,v,0,v,0,v,0,v,0,v,1,X,0,v,0,v,1,v
2,1,2,0,v,0,v,0,v,0,v,0,v,1,X,0,v,0,v,0,v
3,0,3,0,v,0,v,0,v,0,v,0,v,1,X,0,v,0,v,0,v
3,0,3,0,v,0,v,0,v,0,v,0,v,1,X,0,v,0,v,0,v
3,0,3,1,v,0,v,0,v,1,v,0,v,1,X,0,v,0,v,1,v
3,0,3,0,v,0,v,0,v,0,v,0,v,1,X,0,v,0,v,0,v
3,0,3,0,v,0,v,0,v,1,v,0,v,1,X,0,v,0,v,0,v
3,0,3,0,v,0,v,0,v,0,v,0,v,1,X,0,v,0,v,0,v
3,1,3,1,v,0,v,0,v,1,v,0,v,1,X,0,v,0,v,0,v
3,1,3,1,v,0,v,0,v,1,v,0,v,1,X,0,v,0,v,1,v
3,1,3,0,v,0,v,0,v,1,v,0,v,1,X,0,v,0,v,1,v
3,1,3,0,v,0,v,0,v,1,v,0,v,1,X,0,v,0,v,1,v
3,1,3,1,v,0,v,0,v,1,v,0,v,1,X,0,v,0,v,0,v
3,2,3,0,v,1,v,0,v,1,v,0,v,1,X,0,v,0,v,1,v
3,2,3,1,v,0,v,0,v,1,v,0,v,1,X,0,v,0,v,1,v
3,2,3,0,v,0,v,0,v,1,v,0,v,1,X,0,v,0,v,1,v
3,2,2,0,v,0,v,0,v,1,v,0,v,1,X,0,v,0,v,1,v
4,0,4,1,v,0,v,0,v,1,v,0,v,1,X,0,v,0,v,1,v
4,0,4,1,v,0,v,0,v,0,v,0,v,1,X,0,v,0,v,0,v
4,0,4,1,v,0,v,0,v,0,v,0,v,1,X,0,v,0,v,0,v
4,1,4,1,v,0,v,1,v,1,v,0,v,1,X,0,v,0,v,1,v
4,1,4,1,v,0,v,1,v,1,v,0,v,1,X,0,v,0,v,0,v
4,1,4,1,v,0,v,0,v,1,v,0,v,1,X,0,v,0,v,1,v
4,2,4,1,v,0,v,1,v,1,v,0,v,1,X,0,v,0,v,1,v
4,2,4,1,v,0,v,0,v,1,v,0,v,1,X,0,v,0,v,1,v
4,2,4,1,v,0,v,1,v,1,v,0,v,1,X,0,v,0,v,1,v
4,3,4,1,v,0,v,0,v,1,v,0,v,1,X,0,v,0,v,1,v
4,3,4,1,v,0,v,0,v,1,v,0,v,1,X,0,v,0,v,1,v
4,3,4,1,v,0,v,0,v,1,v,0,v,1,X,0,v,0,v,1,v
4,3,3,1,v,0,v,1,v,1,v,0,v,1,X,0,v,0,v,1,v
